user,time,pattern
2447,E,"(29, 5)"
2447,E,"(28, 13)"
2447,E,"(43, 10)"
2447,E,"(28, 8)"
2447,E,"(26, 5)"
2447,E,"(27, 6)"
2447,E,"(28, 5)"
2447,E,"(15, 26)"
2447,E,"(27, 15)"
2447,E,"(8, 39)"
2447,E,"(36, 16)"
2447,E,"(21, 13)"
2447,E,"(28, 7)"
2447,E,"(26, 3)"
2447,E,"(24, 17)"
2447,E,"(28, 6)"
2447,E,"(36, 10)"
2447,E,"(27, 9)"
2447,E,"(32, 18)"
1838,M,"(27, 17)"
1838,M,"(45, 11)"
1838,M,"(43, 9)"
1838,M,"(36, 51)"
1838,M,"(31, 19)"
1838,M,"(32, 17)"
1838,M,"(56, 24)"
1838,M,"(30, 17)"
1838,M,"(33, 26)"
1838,M,"(32, 19)"
1838,M,"(33, 17)"
1838,M,"(29, 20)"
1838,M,"(26, 24)"
1838,M,"(23, 18)"
1838,M,"(25, 27)"
1838,M,"(28, 21)"
1838,M,"(28, 21)"
1838,M,"(28, 18)"
1838,M,"(30, 21)"
1838,M,"(40, 20)"
1838,M,"(36, 7)"
1838,M,"(27, 21)"
1838,M,"(11, 36)"
1838,M,"(38, 20)"
1838,A,"(25, 24)"
1838,A,"(37, 30)"
1838,A,"(26, 54)"
1838,A,"(11, 27)"
1838,A,"(30, 11)"
1838,A,"(39, 27)"
1838,E,"(38, 37)"
1838,E,"(32, 16)"
1838,E,"(37, 18)"
1838,E,"(30, 31)"
1838,E,"(29, 16)"
1838,E,"(27, 19)"
1838,E,"(29, 25)"
1838,E,"(12, 46)"
1838,E,"(30, 21)"
1838,E,"(25, 16)"
1838,E,"(28, 22)"
1838,E,"(27, 3)"
1838,E,"(37, 27)"
1838,E,"(30, 21)"
1838,E,"(33, 20)"
1838,E,"(28, 21)"
3105,M,"(4, 53)"
3105,M,"(2, 52)"
3105,M,"(19, 65)"
3105,M,"(18, 63)"
3105,M,"(17, 66)"
3105,M,"(12, 66)"
3105,M,"(24, 65)"
3105,M,"(10, 54)"
3105,M,"(25, 52)"
3105,M,"(1, 58)"
3105,M,"(37, 35)"
3105,M,"(18, 35)"
3105,M,"(18, 50)"
3105,M,"(15, 63)"
3105,M,"(16, 65)"
3105,M,"(19, 66)"
3105,M,"(17, 65)"
3105,M,"(16, 59)"
3105,M,"(6, 51)"
3105,M,"(19, 63)"
3105,M,"(16, 42)"
3105,M,"(21, 46)"
3105,M,"(18, 64)"
3105,M,"(16, 63)"
3105,M,"(18, 37)"
3105,M,"(26, 41)"
3105,M,"(17, 50)"
3105,M,"(33, 34)"
3105,M,"(21, 63)"
3105,M,"(18, 47)"
3105,M,"(2, 53)"
3105,M,"(30, 48)"
